N,rv,rg,Z,ccflag,tcount,TotalTime
16.0,4.0,2.0,0.002,0,647696,13999.999
4.0,1.0,2.0,0.02,1,180445,7059.7793
4.0,1.0,20.0,0.02,1,236485,9839.642
8.0,4.0,2.0,0.0002,0,253770,6073.387
4.0,4.0,8.0,0.002,0,252841,14000.05
2.0,4.0,8.0,0.002,1,142689,10994.891
16.0,2.0,8.0,0.002,0,1074446,14000.043
4.0,1.0,2.0,0.0002,1,301385,5334.5117
16.0,2.0,20.0,0.0002,0,1057738,14000.012
16.0,2.0,2.0,0.0002,0,1096997,14000.017
16.0,1.0,2.0,0.02,0,1100888,14000.019
8.0,4.0,8.0,0.02,0,234708,14000.074
32.0,1.0,20.0,0.0002,0,1539798,3129.4993
2.0,0.5,20.0,0.0002,1,375903,422.48956
8.0,1.0,20.0,0.02,0,515987,14000.018
2.0,4.0,8.0,0.02,0,59773,14000.254
8.0,4.0,2.0,0.002,0,295097,7379.3223
16.0,1.0,8.0,0.002,0,1513655,13999.999
16.0,0.5,8.0,0.02,1,1314849,11089.34
8.0,4.0,8.0,0.0002,0,401437,14000.048
2.0,4.0,2.0,0.0002,0,69336,944.097
2.0,2.0,8.0,0.0002,1,149623,6024.8735
8.0,2.0,2.0,0.0002,0,618896,14000.026
4.0,2.0,2.0,0.02,1,170669,13622.005
16.0,1.0,8.0,0.02,0,1005534,14000.085
16.0,1.0,2.0,0.002,0,1123724,5409.3667
16.0,4.0,2.0,0.0002,0,700360,14000.027
4.0,0.5,20.0,0.0002,1,627694,2092.285
8.0,4.0,20.0,0.02,0,231320,14000.128
8.0,1.0,20.0,0.002,0,748823,14000.071
2.0,1.0,2.0,0.0002,1,157315,2876.8394
4.0,4.0,20.0,0.0002,0,252665,13999.987
4.0,4.0,20.0,0.02,0,110640,14000.217
2.0,0.5,2.0,0.002,1,201760,746.5229
16.0,4.0,20.0,0.0002,0,652959,14000.0
4.0,0.5,8.0,0.02,1,157755,2378.6687
8.0,0.5,20.0,0.002,1,780215,11104.229
4.0,4.0,2.0,0.02,0,98834,8732.033
16.0,2.0,8.0,0.0002,0,1053627,14000.032
4.0,1.0,2.0,0.002,1,315843,6958.505
16.0,2.0,2.0,0.002,0,1076568,14000.057
2.0,1.0,8.0,0.0002,1,184337,1722.0665
8.0,2.0,20.0,0.02,0,364042,14000.128
2.0,2.0,20.0,0.0002,1,161122,4881.429
4.0,2.0,2.0,0.0002,1,303930,8947.44
2.0,2.0,2.0,0.0002,1,185961,1893.6519
