N,rv,rg,Z,ccflag,tcount,TotalTime
16.0,4.0,2.0,0.002,0,647696,0.6995347
4.0,1.0,2.0,0.02,1,180445,4.8333464
4.0,1.0,20.0,0.02,1,236485,6.7365274
8.0,4.0,2.0,0.0002,0,253770,0.3982941
4.0,4.0,8.0,0.002,0,252841,1.1981113
2.0,4.0,8.0,0.002,1,142689,1.212345
16.0,2.0,8.0,0.002,0,1074446,1.9785866
4.0,1.0,2.0,0.0002,1,301385,3.652174
16.0,2.0,20.0,0.0002,0,1057738,1.9785821
16.0,2.0,2.0,0.0002,0,1096997,1.9785829
16.0,1.0,2.0,0.02,0,1100888,5.5962915
8.0,4.0,8.0,0.02,0,234708,0.91812795
32.0,1.0,20.0,0.0002,0,1539798,0.946426
2.0,0.5,20.0,0.0002,1,375903,1.0541104
8.0,1.0,20.0,0.02,0,515987,7.3450036
2.0,4.0,8.0,0.02,0,59773,1.5437295
8.0,4.0,2.0,0.002,0,295097,0.4839376
16.0,1.0,8.0,0.002,0,1513655,5.596284
16.0,0.5,8.0,0.02,1,1314849,12.537807
8.0,4.0,8.0,0.0002,0,401437,0.9181262
2.0,4.0,2.0,0.0002,0,69336,0.10410029
2.0,2.0,8.0,0.0002,1,149623,1.8790091
8.0,2.0,2.0,0.0002,0,618896,2.5968535
4.0,2.0,2.0,0.02,1,170669,3.2972603
16.0,1.0,8.0,0.02,0,1005534,5.5963182
16.0,1.0,2.0,0.002,0,1123724,2.162311
16.0,4.0,2.0,0.0002,0,700360,0.69953614
4.0,0.5,20.0,0.0002,1,627694,4.051565
8.0,4.0,20.0,0.02,0,231320,0.9181315
8.0,1.0,20.0,0.002,0,748823,7.3450317
2.0,1.0,2.0,0.0002,1,157315,2.537701
4.0,4.0,20.0,0.0002,0,252665,1.1981059
4.0,4.0,20.0,0.02,0,110640,1.1981256
2.0,0.5,2.0,0.002,1,201760,1.8625728
16.0,4.0,20.0,0.0002,0,652959,0.6995348
4.0,0.5,8.0,0.02,1,157755,6.0174065
8.0,0.5,20.0,0.002,1,780215,16.477732
4.0,4.0,2.0,0.02,0,98834,0.74727935
16.0,2.0,8.0,0.0002,0,1053627,1.9785851
4.0,1.0,2.0,0.002,1,315843,4.764011
16.0,2.0,2.0,0.002,0,1076568,1.9785886
2.0,1.0,8.0,0.0002,1,184337,1.5190594
8.0,2.0,20.0,0.02,0,364042,2.5968723
2.0,2.0,20.0,0.0002,1,161122,1.522397
4.0,2.0,2.0,0.0002,1,303930,2.1657634
2.0,2.0,2.0,0.0002,1,185961,0.5905832
4.0,0.5,8.0,0.002,1,365417,6.3291554
8.0,1.0,20.0,0.0002,0,738658,7.3450203
16.0,2.0,2.0,0.02,0,822618,1.9785855
2.0,2.0,2.0,0.02,1,79336,2.327062
32.0,1.0,20.0,0.02,0,1643106,1.7069303
2.0,1.0,2.0,0.002,1,122142,2.762273
2.0,4.0,20.0,0.02,0,62850,1.5437777
2.0,2.0,2.0,0.002,1,130865,0.9445298
4.0,2.0,8.0,0.0002,1,310745,3.0965457
16.0,0.5,8.0,0.0002,0,25795,0.0037431181
16.0,0.5,20.0,0.02,1,1225912,12.565422
8.0,2.0,20.0,0.0002,0,607542,2.5968645
4.0,2.0,20.0,0.0002,1,297838,3.2370431
2.0,4.0,20.0,0.0002,1,162778,1.515113
8.0,1.0,2.0,0.02,1,462036,6.440405
2.0,4.0,2.0,0.002,0,79370,0.1324107
4.0,0.5,20.0,0.002,1,475411,6.3055673
4.0,0.5,2.0,0.0002,1,1153914,0.7154731
8.0,2.0,2.0,0.02,0,399375,2.5968952
8.0,1.0,8.0,0.02,1,499310,7.0523195
8.0,4.0,8.0,0.002,0,415645,0.9181257
8.0,4.0,2.0,0.02,0,255371,0.91812944
4.0,2.0,20.0,0.002,0,288628,3.3887854
2.0,0.5,20.0,0.002,1,232657,2.3742826
8.0,2.0,8.0,0.02,0,404854,2.5968583
16.0,4.0,2.0,0.02,0,439027,0.6995348
4.0,0.5,20.0,0.02,1,246336,9.980888
16.0,0.5,20.0,0.0002,0,13906,0.0033349125
2.0,0.5,20.0,0.02,1,117018,5.444687
16.0,4.0,20.0,0.02,0,436379,0.6995343
8.0,1.0,2.0,0.002,0,678479,7.3450584
8.0,0.5,2.0,0.02,1,492397,9.232476
8.0,0.5,8.0,0.0002,1,862733,10.943074
8.0,1.0,8.0,0.0002,0,733639,7.345017
8.0,4.0,20.0,0.0002,0,387494,0.91812867
2.0,4.0,8.0,0.0002,1,185911,1.072488
2.0,4.0,20.0,0.002,1,147641,1.4464723
4.0,4.0,2.0,0.0002,0,136994,0.21200246
4.0,4.0,20.0,0.002,0,258461,1.1981072
2.0,1.0,20.0,0.002,1,129725,1.3726577
2.0,0.5,8.0,0.0002,1,588515,0.16825019
4.0,1.0,20.0,0.0002,1,522072,3.390072
16.0,2.0,8.0,0.02,0,812709,1.9785821
4.0,4.0,2.0,0.002,0,132380,0.25800174
8.0,0.5,2.0,0.0002,1,847941,10.734187
8.0,2.0,8.0,0.002,0,571395,2.5968528
8.0,2.0,20.0,0.002,0,588586,2.5968552
2.0,2.0,20.0,0.002,1,136329,1.4116406
16.0,0.5,2.0,0.02,1,1395462,11.164604
