t,x0,y0,z0,vx0,vy0,vz0,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2
0.000000e+00,-4.460008e+01,-1.602483e+00,0.000000e+00,2.105524e-01,1.386796e-03,0.000000e+00,2.190960e+01,1.113168e+00,-1.593911e-02,-4.655800e-01,-4.518131e-01,-2.346361e-03,2.269049e+01,4.893148e-01,1.593911e-02,2.550276e-01,4.504263e-01,2.346361e-03
1.296842e+06,-4.459798e+01,-1.602469e+00,-6.039275e-14,2.105554e-01,1.386903e-03,-1.210156e-11,2.190497e+01,1.108630e+00,-1.596151e-02,-4.603517e-01,-4.559420e-01,-2.133688e-03,2.269301e+01,4.938398e-01,1.596151e-02,2.497963e-01,4.545551e-01,2.133688e-03
7.781053e+06,-4.458745e+01,-1.602400e+00,-2.214461e-12,2.105703e-01,1.387438e-03,-7.459935e-11,2.188262e+01,1.085333e+00,-1.604154e-02,-4.335140e-01,-4.756654e-01,-1.066621e-03,2.270483e+01,5.170671e-01,1.604154e-02,2.229437e-01,4.742780e-01,1.066621e-03
3.956739e+07,-4.453583e+01,-1.602060e+00,-6.144726e-11,2.106433e-01,1.390069e-03,-4.164209e-10,2.179378e+01,9.589885e-01,-1.566130e-02,-2.879254e-01,-5.483924e-01,4.148610e-03,2.274205e+01,6.430712e-01,1.566130e-02,7.728206e-02,5.470023e-01,-4.148609e-03
7.458644e+07,-4.447894e+01,-1.601684e+00,-2.274019e-10,2.107239e-01,1.392973e-03,-8.090547e-10,2.173968e+01,8.056723e-01,-1.380392e-02,-1.112046e-01,-5.779393e-01,9.496403e-03,2.273926e+01,7.960116e-01,1.380392e-02,-9.951933e-02,5.765463e-01,-9.496402e-03
1.099920e+08,-4.442140e+01,-1.601303e+00,-4.962946e-10,2.108057e-01,1.395917e-03,-1.144418e-09,2.173397e+01,6.502460e-01,-1.057373e-02,6.797432e-02,-5.512232e-01,1.397047e-02,2.268742e+01,9.510573e-01,1.057373e-02,-2.787800e-01,5.498273e-01,-1.397047e-02
1.460238e+08,-4.436281e+01,-1.600915e+00,-8.477393e-10,2.108891e-01,1.398920e-03,-1.361815e-09,2.177636e+01,5.073774e-01,-6.218874e-03,2.326764e-01,-4.683672e-01,1.710788e-02,2.258646e+01,1.093538e+00,6.218875e-03,-4.435655e-01,4.669683e-01,-1.710787e-02
1.829923e+08,-4.430268e+01,-1.600516e+00,-1.250550e-09,2.109749e-01,1.402010e-03,-1.442377e-09,2.186269e+01,3.919910e-01,-1.095733e-03,3.656685e-01,-3.338670e-01,1.851065e-02,2.243999e+01,1.208525e+00,1.095734e-03,-5.766434e-01,3.324650e-01,-1.851064e-02
2.199607e+08,-4.424253e+01,-1.600116e+00,-1.660645e-09,2.110609e-01,1.405113e-03,-1.425104e-09,2.198001e+01,3.204413e-01,4.145062e-03,4.480707e-01,-1.635940e-01,1.792586e-02,2.226252e+01,1.279674e+00,-4.145060e-03,-6.591316e-01,1.621889e-01,-1.792586e-02
2.569292e+08,-4.418235e+01,-1.599715e+00,-2.062143e-09,2.111471e-01,1.408232e-03,-1.398525e-09,2.211248e+01,3.003891e-01,8.940787e-03,4.710310e-01,2.416907e-02,1.541631e-02,2.206987e+01,1.299326e+00,-8.940785e-03,-6.821781e-01,-2.557731e-02,-1.541631e-02
